Station_number,state,start,end,elev,lat,lon,name
14825,NT,1885,2018,88.5,-16.403,131.0145,VICTORIA RIVER DOWNS
14909,NT,2003,2018,416,-13.3275,133.0861,CENTRAL ARNHEM PLATEAU
22050,SA,2005,2018,41.1,-33.9703,137.6628,KADINA AWS
22823,SA,2002,2018,158,-35.7549,136.5959,CAPE BORDA
23000,SA,1839,2018,29.3,-34.9257,138.5832,ADELAIDE (WEST TERRACE / NGAYIRDA
24518,SA,1864,2018,3,-35.6902,139.3375,MENINGIE
40043,QLD,1869,2018,99.9,-27.0314,153.4661,CAPE MORETON LIGHTHOUSE
40913,QLD,1999,2018,8.1,-27.4808,153.0389,BRISBANE
41525,QLD,1994,2018,475.4,-28.2061,152.1003,WARWICK
58208,NSW,1994,2018,20.9,-28.8824,153.0618,CASINO AIRPORT AWS
63292,NSW,1989,2018,80,-33.6185,150.2741,MOUNT BOYCE AWS
66062,NSW,1858,2018,39,-33.8607,151.205,SYDNEY (OBSERVATORY HILL)
67105,NSW,1993,2018,19,-33.6004,150.7761,RICHMOND RAAF
70351,ACT,2008,2018,577.1,-35.3088,149.2004,CANBERRA AIRPORT
71032,NSW,1966,2018,957,-36.4917,148.2859,THREDBO AWS
81049,VIC,1942,2018,114,-36.4378,145.2672,TATURA INST SUSTAINABLE AG
85291,VIC,1991,2018,561,-37.8383,146.2747,MOUNT BAW BAW
86344,VIC,1975,2018,9,-38.3065,144.8016,SOUTH CHANNEL ISLAND
9194,WA,1983,2018,14,-32.2208,115.8075,MEDINA RESEARCH CENTRE
9225,WA,1993,2018,24.9,-31.9192,115.8728,PERTH METRO
